,Minute,Goal Home,Goal Away,Yellow Home,Yellow Away,Red Card Home,Red Card Away,Own Goal Home,Own Goal Away
0,1,269,166,67,80,2,2,4,3
1,2,396,330,127,135,5,6,19,10
2,3,445,353,148,186,5,8,14,10
3,4,478,343,168,209,2,13,11,14
4,5,499,360,203,249,6,13,17,15
5,6,507,380,191,254,5,11,29,12
6,7,520,351,225,285,7,4,22,10
7,8,503,339,251,267,5,11,14,12
8,9,501,366,271,332,6,8,17,12
9,10,556,419,275,333,9,13,24,16
10,11,540,378,325,411,9,13,16,13
11,12,543,432,344,418,15,16,18,13
12,13,550,401,364,393,13,15,12,12
13,14,542,400,353,471,6,19,9,8
14,15,513,443,374,478,4,20,13,10
15,16,570,435,397,505,12,16,18,13
16,17,569,405,411,516,9,16,13,9
17,18,561,398,455,598,6,16,12,13
18,19,565,403,476,577,11,18,16,12
19,20,570,431,477,571,9,13,16,16
20,21,522,386,528,648,17,17,10,14
21,22,511,411,500,612,13,18,23,10
22,23,545,405,551,703,13,22,11,8
23,24,547,431,562,682,15,16,13,14
24,25,524,424,547,734,24,21,14,15
25,26,563,428,561,779,10,26,13,6
26,27,553,409,591,768,16,19,18,11
27,28,602,441,636,818,23,25,16,12
28,29,536,424,628,794,19,34,9,8
29,30,567,447,677,858,16,21,20,10
30,31,574,417,682,885,26,23,22,17
31,32,576,409,724,829,16,36,15,14
32,33,567,411,713,895,29,23,17,14
33,34,615,418,729,929,30,33,14,10
34,35,595,450,733,887,24,32,20,10
35,36,597,398,719,910,21,30,17,16
36,37,557,417,782,884,23,37,12,10
37,38,582,416,832,957,23,41,22,10
38,39,554,431,795,982,30,39,11,13
39,40,578,420,782,1022,25,35,13,10
40,41,582,420,801,950,26,39,11,7
41,42,552,443,805,1006,19,29,12,9
42,43,594,428,810,927,32,45,11,16
43,44,582,434,848,1006,38,51,22,12
44,45,983,707,1339,1627,62,70,23,27
45,46,322,240,272,316,13,17,6,8
46,47,543,427,437,525,17,21,16,15
47,48,604,458,524,641,15,26,21,12
48,49,608,442,577,720,22,32,12,25
49,50,604,498,618,813,24,37,12,18
50,51,627,474,694,832,29,43,26,13
51,52,670,506,720,880,40,48,21,14
52,53,607,478,729,895,37,55,21,12
53,54,637,497,786,930,41,61,18,15
54,55,718,485,826,982,26,46,21,14
55,56,677,501,794,962,36,54,9,7
56,57,681,467,787,1001,36,61,11,6
57,58,643,453,820,1010,38,71,17,12
58,59,687,455,841,995,28,46,24,10
59,60,657,535,923,1072,38,62,13,10
60,61,627,505,871,973,62,53,17,12
61,62,668,471,827,1055,38,65,14,11
62,63,618,475,862,970,49,46,19,5
63,64,612,499,822,975,48,78,14,17
64,65,628,460,852,978,54,75,12,16
65,66,649,478,851,1018,40,88,18,17
66,67,658,450,889,983,57,66,12,11
67,68,656,430,868,1038,53,67,14,16
68,69,636,494,842,963,41,61,18,11
69,70,643,474,830,1029,46,78,14,11
70,71,584,477,881,1018,45,57,15,11
71,72,597,475,837,1005,46,72,13,14
72,73,644,488,894,997,46,76,17,15
73,74,596,497,872,1009,50,79,13,14
74,75,656,502,948,1034,52,68,14,12
75,76,621,473,899,1021,63,84,18,13
76,77,598,485,896,1037,54,84,15,12
77,78,654,468,837,997,67,88,13,15
78,79,624,492,843,1049,53,76,19,9
79,80,668,529,942,1125,71,100,17,10
80,81,630,477,908,1019,70,87,24,9
81,82,610,500,939,1015,56,88,15,14
82,83,664,480,961,1035,80,90,14,15
83,84,635,512,897,1070,65,72,12,11
84,85,634,496,972,1151,79,116,19,13
85,86,628,450,973,1042,79,106,20,10
86,87,667,538,1028,1157,75,103,14,17
87,88,669,487,1086,1191,78,107,18,12
88,89,657,509,1149,1191,100,106,15,15
89,90,1628,1248,2450,2770,297,352,31,38
